variant,run_id,mse_gen_vs_target,mse_cond_vs_target,trajectory_pt,target_pt
dithered_uniform__cosine,20260301_014116,0.010538962,0.013084678,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__cosine/20260301_014116/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__cosine/20260301_014116/samples/ddpm/sample_0/target_time.pt
lloyd_max__sigmoid,20260301_001102,0.012457956,0.0014667002,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__sigmoid/20260301_001102/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__sigmoid/20260301_001102/samples/ddpm/sample_0/target_time.pt
uniform__cosine,20260228_225912,0.017608263,0.0035552692,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__cosine/20260228_225912/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__cosine/20260228_225912/samples/ddpm/sample_0/target_time.pt
uniform__sigmoid,20260228_231710,0.017922876,0.0035552692,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__sigmoid/20260228_231710/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__sigmoid/20260228_231710/samples/ddpm/sample_0/target_time.pt
dithered_uniform__linear,20260301_012309,0.018046757,0.012746587,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__linear/20260301_012309/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__linear/20260301_012309/samples/ddpm/sample_0/target_time.pt
lloyd_max__linear,20260228_233459,0.019516589,0.0014667002,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__linear/20260228_233459/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__linear/20260228_233459/samples/ddpm/sample_0/target_time.pt
mu_law__cosine,20260301_004659,0.019716986,0.0040322179,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__cosine/20260301_004659/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__cosine/20260301_004659/samples/ddpm/sample_0/target_time.pt
lloyd_max__cosine,20260228_235257,0.02014266,0.0014667002,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__cosine/20260228_235257/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/lloyd_max__cosine/20260228_235257/samples/ddpm/sample_0/target_time.pt
dithered_uniform__sigmoid,20260301_015917,0.020328593,0.013224021,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__sigmoid/20260301_015917/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/dithered_uniform__sigmoid/20260301_015917/samples/ddpm/sample_0/target_time.pt
mu_law__linear,20260301_002905,0.022142529,0.0040322179,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__linear/20260301_002905/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__linear/20260301_002905/samples/ddpm/sample_0/target_time.pt
uniform__linear,20260228_171844,0.02444917,0.0035552692,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__linear/20260228_171844/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/uniform__linear/20260228_171844/samples/ddpm/sample_0/target_time.pt
mu_law__sigmoid,20260301_010509,0.032023992,0.0040322179,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__sigmoid/20260301_010509/samples/ddpm/sample_0/trajectory_0.pt,/Users/ryanpadnis/EE269Project/diffusion/results/V8/mu_law__sigmoid/20260301_010509/samples/ddpm/sample_0/target_time.pt
