config,run_id,MSE_4bit_mean,MSE_4bit_std,MSE_recon_mean,MSE_recon_std,MSE_improvement_%
lloyd_max__sigmoid,20260305_214732,0.00110507,0.00141974,0.0272295,0.0470679,-2322.3
mu_law__sigmoid,20260305_224021,0.00436201,0.00477768,0.0310436,0.052193,-577.7
lloyd_max__linear,20260305_211221,0.00110507,0.00141974,0.0282579,0.0475807,-2457.8
uniform__linear,20260305_190038,0.00292535,0.00269631,0.030278,0.0555835,-951.3
uniform__cosine,20260305_203731,0.00292535,0.00269631,0.0291718,0.0439801,-919.9
mu_law__cosine,20260305_222240,0.00436201,0.00477768,0.0305168,0.0532179,-592.7
lloyd_max__cosine,20260305_212954,0.00110507,0.00141974,0.0288778,0.0451547,-2575.3
uniform__sigmoid,20260305_205507,0.00292535,0.00269631,0.0282119,0.045834,-925.3
dithered_uniform__sigmoid,20260306_002946,0.00875549,0.0078545,0.0324102,0.0491933,-282.4
dithered_uniform__cosine,20260305_231515,0.00858317,0.00759649,0.0334364,0.0445955,-320.1
dithered_uniform__linear,20260305_225756,0.00870453,0.00791318,0.0350041,0.0486234,-340.0
mu_law__linear,20260305_220511,0.00436201,0.00477768,0.0376998,0.0539828,-848.3
