config,run_id,version,n_samples,n_paired,paired_wins,mse_4bit_mean,mse_4bit_std,nef_mean,nef_std,mse_mean,mse_std,nmse_mean,nmse_std,l1_fraction_mean,l1_fraction_std,prd_mean,prd_std,correlation_mean,correlation_std,snr_db_mean,snr_db_std,energy_ratio_mean,energy_ratio_std,nef_improvement_pct_mean,mse_improvement_pct_mean,l1_improvement_pct_mean
lloyd_max__sigmoid,20260305_214732,lloyd_max__sigmoid/20260305_214732,16,16,1,0.0011050707907998003,0.001419742458613561,0.2515616771166073,0.09629876623096399,0.0272295028262306,0.04706792681046166,0.2515616797225672,0.09629876978686025,0.456819758527711,0.11033194558760293,49.30514759211674,9.500551118647579,0.8453718865169717,0.08386835401736577,6.294259564686787,1.68466949569643,0.5201557977836806,0.060901115748476745,-2322.3061401437117,-2322.3061642240436,-319.4539966443073
mu_law__sigmoid,20260305_224021,mu_law__sigmoid/20260305_224021,16,16,3,0.004362009254691657,0.0047776772599158095,0.26313428158184116,0.0690275997800096,0.0310435704595875,0.052192972991718795,0.26313428134883043,0.069027600601323,0.4944469998602603,0.0880334709284004,50.85671430349781,6.923384611267395,0.8420506604832102,0.06376575558821071,5.952252747051635,1.227484101128595,0.5428810336172389,0.095231478022925,-577.7220787184497,-577.7220707151173,-185.26624828120066
lloyd_max__linear,20260305_211221,lloyd_max__linear/20260305_211221,16,16,2,0.0011050707907998003,0.001419742458613561,0.2666402398474052,0.10867053208765584,0.02825788818881847,0.04758065071514874,0.2666402372500416,0.10867053063125308,0.4790970216972667,0.11998958088597536,50.48314954151299,11.212089229912014,0.8395639113556241,0.08036672027601995,6.162564884670438,2.1091096816784702,0.5183422174336455,0.0816921530209748,-2457.7859344753456,-2457.785906814383,-340.5766039694543
uniform__linear,20260305_190038,uniform__linear/20260305_190038,16,16,2,0.002925349988800008,0.0026963146541327206,0.2684254123249877,0.11314253337950267,0.030278015037765726,0.05558347671488613,0.26842541338337084,0.11314253856858927,0.4864429647076483,0.12156686229329983,50.70879239525434,10.972571722368928,0.8298569500099017,0.0884809716241325,6.094868028305392,1.9268560645702661,0.6299835605767169,0.11228024612475147,-951.2673088852806,-951.2673145137244,-161.41462878163156
uniform__cosine,20260305_203731,uniform__cosine/20260305_203731,16,16,3,0.002925349988800008,0.0026963146541327206,0.2693919356529624,0.07550534308932431,0.02917175617767498,0.04398005797326907,0.2693919361857464,0.07550533953038112,0.4860368332855909,0.0951688904216289,51.447427041047156,7.0866339831735585,0.8327518332417463,0.07112541940160452,5.84785636739595,1.1723673988545849,0.4900252206080242,0.05323935719080023,-919.9152958939804,-919.9153008366903,-159.62778772179615
mu_law__cosine,20260305_222240,mu_law__cosine/20260305_222240,16,16,0,0.004362009254691657,0.0047776772599158095,0.26987499541171195,0.09086300405681565,0.03051676691393368,0.0532179482645553,0.26987499566781253,0.09086300697703353,0.4888789103034715,0.11375511935681028,51.232842944526865,8.881186583698572,0.8359856764357788,0.06821439146904902,5.934698546515649,1.5364233439608226,0.5214367072993831,0.09046517932892388,-592.699670283634,-592.69966543302,-181.8745319563921
lloyd_max__cosine,20260305_212954,lloyd_max__cosine/20260305_212954,16,16,2,0.0011050707907998003,0.001419742458613561,0.2707792993280252,0.07801429521653512,0.028877759439637884,0.04515469084877938,0.27077929892501257,0.07801429654525543,0.4798629247129711,0.09192558232277169,51.50035618641592,7.694590720069519,0.8221558043227174,0.07857237081370945,5.8588709208082825,1.3434091463886983,0.5887109050159645,0.09005785104544455,-2575.2620359670777,-2575.262040569282,-345.106171989747
uniform__sigmoid,20260305_205507,uniform__sigmoid/20260305_205507,16,16,3,0.002925349988800008,0.0026963146541327206,0.27290827891936764,0.11300362565776484,0.028211924363858998,0.04583398104572966,0.27290827891417796,0.11300362549068671,0.4952249501602194,0.13643452510686585,51.052451670886285,11.441676687641955,0.8352195920699397,0.07722154098680692,6.067883942520067,2.1204075878373425,0.5249140388019062,0.089335312278744,-925.3056683171704,-925.3056700361152,-162.2265997683374
dithered_uniform__sigmoid,20260306_002946,dithered_uniform__sigmoid/20260306_002946,16,16,0,0.008755485410802066,0.007854502572132188,0.30699697457605124,0.09942428320502726,0.03241016159881838,0.04919331562032389,0.3069969764662294,0.09942428426103053,0.5324379589790436,0.11627412559910502,54.74172412283745,8.84312981213744,0.8065557867027495,0.07922505244354759,5.339905645612147,1.4063756923860404,0.4885589304579011,0.055239008565435205,-282.41626247114397,-282.4162661363833,-72.88879271189971
dithered_uniform__cosine,20260305_231515,dithered_uniform__cosine/20260305_231515,16,16,0,0.008583169983467087,0.007596493583151795,0.3310719485979321,0.1039203511690301,0.033436375291785225,0.04459548512481643,0.33107195074223955,0.10392035695447113,0.5363005072044343,0.10705307684703629,56.89853060252491,8.840917071758705,0.7865277592951269,0.07832739408761667,4.995614164992481,1.3456547102082899,0.48112536576878984,0.07236682922402705,-320.0642656382645,-320.06426450419923,-77.26344808641255
